epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6566.24,0.7497,0.62686,1.09568,0.90351,0.87811,0.94459,0.84142,0.58387,0.49335,0.98663,0.00492625,0.00492625,0.00492625
43,6722.53,0.74935,0.62386,1.09379,0.90766,0.87515,0.94221,0.84077,0.57997,0.48918,0.98594,0.0048025,0.0048025,0.0048025
44,6881.47,0.73787,0.61535,1.0883,0.89222,0.88036,0.9424,0.83912,0.59375,0.49575,0.99566,0.00467875,0.00467875,0.00467875
45,7039.29,0.7322,0.6038,1.08362,0.91443,0.87062,0.94605,0.84368,0.57719,0.48405,0.98767,0.004555,0.004555,0.004555
46,7196.42,0.73853,0.60235,1.08778,0.9149,0.86789,0.94718,0.84562,0.57655,0.4803,0.98745,0.00443125,0.00443125,0.00443125
47,7351.48,0.72776,0.60232,1.08342,0.89986,0.89235,0.94816,0.84729,0.57474,0.47545,0.9866,0.0043075,0.0043075,0.0043075
48,7505.59,0.72493,0.59114,1.08042,0.90974,0.87645,0.94607,0.84953,0.56592,0.4761,0.97913,0.00418375,0.00418375,0.00418375
49,7659.61,0.7202,0.59114,1.07868,0.90576,0.87718,0.94324,0.84489,0.56755,0.48194,0.98296,0.00406,0.00406,0.00406
50,7813.58,0.71346,0.57856,1.08053,0.91755,0.87862,0.94816,0.85094,0.56347,0.4657,0.98037,0.00393625,0.00393625,0.00393625
51,7968.39,0.7222,0.58454,1.07857,0.90916,0.89026,0.94748,0.84913,0.56371,0.46938,0.979,0.0038125,0.0038125,0.0038125
52,8122.71,0.71387,0.57062,1.07607,0.89743,0.89284,0.94852,0.8501,0.56455,0.46774,0.97575,0.00368875,0.00368875,0.00368875
53,8276.99,0.7084,0.57513,1.07484,0.91399,0.88239,0.94818,0.85044,0.56164,0.46717,0.97462,0.003565,0.003565,0.003565
54,8432.36,0.71723,0.57294,1.0756,0.90816,0.88511,0.94771,0.8506,0.56203,0.46667,0.97501,0.00344125,0.00344125,0.00344125
55,8585.69,0.70248,0.56236,1.06845,0.90823,0.88224,0.94607,0.84989,0.55816,0.47387,0.97312,0.0033175,0.0033175,0.0033175
56,8740.8,0.70218,0.55684,1.06732,0.91326,0.88091,0.94622,0.8518,0.55865,0.47117,0.97516,0.00319375,0.00319375,0.00319375
57,8894.92,0.69684,0.5475,1.06694,0.91736,0.87751,0.94773,0.85331,0.55786,0.46246,0.97488,0.00307,0.00307,0.00307
58,9048.44,0.6982,0.54883,1.0662,0.92202,0.87534,0.94635,0.85226,0.55664,0.46614,0.97351,0.00294625,0.00294625,0.00294625
